     Player Scores
------------------------

Level: 3  | Extra XP: 24
Level: 2  | Extra XP: 25
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 9  | Extra XP: 117
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 1  | Extra XP: 0
Level: 2  | Extra XP: 5
Level: 2  | Extra XP: 10
Level: 2  | Extra XP: 0
